,Survived,Pclass,Sex,Age,Fare,Embarked,Title,GroupSize
601,0,3,0,32.368090452261306,7.8958,0,3,1
602,0,1,0,32.368090452261306,42.4,0,3,1
603,0,3,0,44.0,8.05,0,3,1
604,1,1,0,35.0,26.55,1,3,1
605,0,3,0,36.0,15.55,0,3,2
606,0,3,0,30.0,7.8958,0,3,1
607,1,1,0,27.0,30.5,0,3,1
608,1,2,1,22.0,41.5792,1,2,4
609,1,1,1,40.0,153.4625,0,1,1
610,0,3,1,39.0,31.275,0,2,7
611,0,3,0,32.368090452261306,7.05,0,3,1
612,1,3,1,21.773972602739725,15.5,2,1,2
613,0,3,0,32.368090452261306,7.75,2,3,1
614,0,3,0,35.0,8.05,0,3,1
615,1,2,1,24.0,65.0,0,1,4
616,0,3,0,34.0,14.4,0,3,3
617,0,3,1,26.0,16.1,0,2,2
618,1,2,1,4.0,39.0,0,1,4
619,0,2,0,26.0,10.5,0,3,1
620,0,3,0,27.0,14.4542,1,3,2
621,1,1,0,42.0,52.5542,0,3,2
622,1,3,0,20.0,15.7417,1,3,3
623,0,3,0,21.0,7.8542,0,3,1
624,0,3,0,21.0,16.1,0,3,1
625,0,1,0,61.0,32.3208,0,3,1
626,0,2,0,57.0,12.35,2,4,1
627,1,1,1,21.0,77.9583,0,1,1
628,0,3,0,26.0,7.8958,0,3,1
629,0,3,0,32.368090452261306,7.7333,2,3,1
630,1,1,0,80.0,30.0,0,3,1
631,0,3,0,51.0,7.0542,0,3,1
632,1,1,0,32.0,30.5,1,4,1
633,0,1,0,32.368090452261306,0.0,0,3,1
634,0,3,1,9.0,27.9,0,1,6
635,1,2,1,28.0,13.0,0,1,1
636,0,3,0,32.0,7.925,0,3,1
637,0,2,0,31.0,26.25,0,3,3
638,0,3,1,41.0,39.6875,0,2,6
639,0,3,0,32.368090452261306,16.1,0,3,2
640,0,3,0,20.0,7.8542,0,3,1
641,1,1,1,24.0,69.3,1,1,1
642,0,3,1,2.0,27.9,0,1,6
643,1,3,0,32.368090452261306,56.4958,0,3,1
644,1,3,1,0.75,19.2583,1,1,4
645,1,1,0,48.0,76.7292,1,3,2
646,0,3,0,19.0,7.8958,0,3,1
647,1,1,0,56.0,35.5,1,4,1
648,0,3,0,32.368090452261306,7.55,0,3,1
649,1,3,1,23.0,7.55,0,1,1
650,0,3,0,32.368090452261306,7.8958,0,3,1
651,1,2,1,18.0,23.0,0,1,2
652,0,3,0,21.0,8.4333,0,3,1
653,1,3,1,21.773972602739725,7.8292,2,1,1
654,0,3,1,18.0,6.75,2,1,1
655,0,2,0,24.0,73.5,0,3,3
656,0,3,0,32.368090452261306,7.8958,0,3,1
657,0,3,1,32.0,15.5,2,2,3
658,0,2,0,23.0,13.0,0,3,1
659,0,1,0,58.0,113.275,1,3,3
660,1,1,0,50.0,133.65,0,4,3
661,0,3,0,40.0,7.225,1,3,1
662,0,1,0,47.0,25.5875,0,3,1
663,0,3,0,36.0,7.4958,0,3,1
664,1,3,0,20.0,7.925,0,3,2
665,0,2,0,32.0,73.5,0,3,3
666,0,2,0,25.0,13.0,0,3,1
667,0,3,0,32.368090452261306,7.775,0,3,1
668,0,3,0,43.0,8.05,0,3,1
669,1,1,1,35.898148148148145,52.0,0,2,2
670,1,2,1,40.0,39.0,0,2,3
671,0,1,0,31.0,52.0,0,3,2
672,0,2,0,70.0,10.5,0,3,1
673,1,2,0,31.0,13.0,0,3,1
674,0,2,0,32.368090452261306,0.0,0,3,1
675,0,3,0,18.0,7.775,0,3,1
676,0,3,0,24.5,8.05,0,3,1
677,1,3,1,18.0,9.8417,0,1,1
678,0,3,1,43.0,46.9,0,2,8
679,1,1,0,36.0,512.3292,1,3,2
680,0,3,1,21.773972602739725,8.1375,2,1,1
681,1,1,0,27.0,76.7292,1,3,1
682,0,3,0,20.0,9.225,0,3,1
683,0,3,0,14.0,46.9,0,3,8
684,0,2,0,60.0,39.0,0,3,3
685,0,2,0,25.0,41.5792,1,3,4
686,0,3,0,14.0,39.6875,0,3,6
687,0,3,0,19.0,10.1708,0,3,1
688,0,3,0,18.0,7.7958,0,3,1
689,1,1,1,15.0,211.3375,0,1,2
690,1,1,0,31.0,57.0,0,3,2
691,1,3,1,4.0,13.4167,1,1,2
692,1,3,0,32.368090452261306,56.4958,0,3,1
693,0,3,0,25.0,7.225,1,3,1
694,0,1,0,60.0,26.55,0,4,1
695,0,2,0,52.0,13.5,0,3,1
696,0,3,0,44.0,8.05,0,3,1
697,1,3,1,21.773972602739725,7.7333,2,1,1
698,0,1,0,49.0,110.8833,1,3,3
699,0,3,0,42.0,7.65,0,3,1
700,1,1,1,18.0,227.525,1,2,2
701,1,1,0,35.0,26.2875,0,3,1
702,0,3,1,18.0,14.4542,1,1,2
703,0,3,0,25.0,7.7417,2,3,1
704,0,3,0,26.0,7.8542,0,3,2
705,0,2,0,39.0,26.0,0,3,1
706,1,2,1,45.0,13.5,0,2,1
707,1,1,0,42.0,26.2875,0,3,1
708,1,1,1,22.0,151.55,0,1,1
709,1,3,0,4.574166666666667,15.2458,1,0,3
710,1,1,1,24.0,49.5042,1,1,1
711,0,1,0,32.368090452261306,26.55,0,3,1
712,1,1,0,48.0,52.0,0,3,2
713,0,3,0,29.0,9.4833,0,3,1
714,0,2,0,52.0,13.0,0,3,1
715,0,3,0,19.0,7.65,0,3,1
716,1,1,1,38.0,227.525,1,1,1
717,1,2,1,27.0,10.5,0,1,1
718,0,3,0,32.368090452261306,15.5,2,3,1
719,0,3,0,33.0,7.775,0,3,1
720,1,2,1,6.0,33.0,0,1,2
721,0,3,0,17.0,7.0542,0,3,2
722,0,2,0,34.0,13.0,0,3,1
723,0,2,0,50.0,13.0,0,3,1
724,1,1,0,27.0,53.1,0,3,2
725,0,3,0,20.0,8.6625,0,3,1
726,1,2,1,30.0,21.0,0,2,4
727,1,3,1,21.773972602739725,7.7375,2,1,1
728,0,2,0,25.0,26.0,0,3,2
729,0,3,1,25.0,7.925,0,1,2
730,1,1,1,29.0,211.3375,0,1,1
731,0,3,0,11.0,18.7875,1,3,1
732,0,2,0,32.368090452261306,0.0,0,3,1
733,0,2,0,23.0,13.0,0,3,1
734,0,2,0,23.0,13.0,0,3,1
735,0,3,0,28.5,16.1,0,3,1
736,0,3,1,48.0,34.375,0,2,5
737,1,1,0,35.0,512.3292,1,3,1
738,0,3,0,32.368090452261306,7.8958,0,3,1
739,0,3,0,32.368090452261306,7.8958,0,3,1
740,1,1,0,32.368090452261306,30.0,0,3,1
741,0,1,0,36.0,78.85,0,3,2
742,1,1,1,21.0,262.375,1,1,5
743,0,3,0,24.0,16.1,0,3,2
744,1,3,0,31.0,7.925,0,3,1
745,0,1,0,70.0,71.0,0,4,3
746,0,3,0,16.0,20.25,0,3,3
747,1,2,1,30.0,13.0,0,1,1
748,0,1,0,19.0,53.1,0,3,2
749,0,3,0,31.0,7.75,2,3,1
750,1,2,1,4.0,23.0,0,1,3
751,1,3,0,6.0,12.475,0,0,2
752,0,3,0,33.0,9.5,0,3,1
753,0,3,0,23.0,7.8958,0,3,1
754,1,2,1,48.0,65.0,0,2,4
755,1,2,0,0.67,14.5,0,0,3
756,0,3,0,28.0,7.7958,0,3,1
757,0,2,0,18.0,11.5,0,3,1
758,0,3,0,34.0,8.05,0,3,1
759,1,1,1,33.0,86.5,0,4,1
760,0,3,0,32.368090452261306,14.5,0,3,1
761,0,3,0,41.0,7.125,0,3,1
762,1,3,0,20.0,7.2292,1,3,1
763,1,1,1,36.0,120.0,0,2,4
764,0,3,0,16.0,7.775,0,3,1
765,1,1,1,51.0,77.9583,0,2,2
766,0,1,0,42.0,39.6,1,4,1
767,0,3,1,30.5,7.75,2,1,1
768,0,3,0,32.368090452261306,24.15,2,3,2
769,0,3,0,32.0,8.3625,0,3,1
770,0,3,0,24.0,9.5,0,3,1
771,0,3,0,48.0,7.8542,0,3,1
772,0,2,1,57.0,10.5,0,2,1
773,0,3,0,32.368090452261306,7.225,1,3,1
774,1,2,1,54.0,23.0,0,2,5
775,0,3,0,18.0,7.75,0,3,1
776,0,3,0,32.368090452261306,7.75,2,3,1
777,1,3,1,5.0,12.475,0,1,1
778,0,3,0,32.368090452261306,7.7375,2,3,1
779,1,1,1,43.0,211.3375,0,2,2
780,1,3,1,13.0,7.2292,1,1,1
781,1,1,1,17.0,57.0,0,2,2
782,0,1,0,29.0,30.0,0,3,1
783,0,3,0,32.368090452261306,23.45,0,3,4
784,0,3,0,25.0,7.05,0,3,1
785,0,3,0,25.0,7.25,0,3,1
786,1,3,1,18.0,7.4958,0,1,1
787,0,3,0,8.0,29.125,2,0,6
788,1,3,0,1.0,20.575,0,0,4
789,0,1,0,46.0,79.2,1,3,1
790,0,3,0,32.368090452261306,7.75,2,3,1
791,0,2,0,16.0,26.0,0,3,1
792,0,3,1,21.773972602739725,69.55,0,1,11
793,0,1,0,32.368090452261306,30.6958,1,3,1
794,0,3,0,25.0,7.8958,0,3,1
795,0,2,0,39.0,13.0,0,3,1
796,1,1,1,49.0,25.9292,0,4,1
797,1,3,1,31.0,8.6833,0,2,1
798,0,3,0,30.0,7.2292,1,3,1
799,0,3,1,30.0,24.15,0,2,3
800,0,2,0,34.0,13.0,0,3,1
801,1,2,1,31.0,26.25,0,2,3
802,1,1,0,11.0,120.0,0,0,4
803,1,3,0,0.42,8.5167,1,0,2
804,1,3,0,27.0,6.975,0,3,1
805,0,3,0,31.0,7.775,0,3,1
806,0,1,0,39.0,0.0,0,3,1
807,0,3,1,18.0,7.775,0,1,1
808,0,2,0,39.0,13.0,0,3,1
809,1,1,1,33.0,53.1,0,2,2
810,0,3,0,26.0,7.8875,0,3,1
811,0,3,0,39.0,24.15,0,3,1
812,0,2,0,35.0,10.5,0,3,1
813,0,3,1,6.0,31.275,0,1,7
814,0,3,0,30.5,8.05,0,3,1
815,0,1,0,32.368090452261306,0.0,0,3,1
816,0,3,1,23.0,7.925,0,1,1
817,0,2,0,31.0,37.0042,1,3,3
818,0,3,0,43.0,6.45,0,3,1
819,0,3,0,10.0,27.9,0,0,6
820,1,1,1,52.0,93.5,0,2,3
821,1,3,0,27.0,8.6625,0,3,1
822,0,1,0,38.0,0.0,0,4,1
823,1,3,1,27.0,12.475,0,2,2
824,0,3,0,2.0,39.6875,0,0,6
825,0,3,0,32.368090452261306,6.95,2,3,1
826,0,3,0,32.368090452261306,56.4958,0,3,1
827,1,2,0,1.0,37.0042,1,0,3
828,1,3,0,32.368090452261306,7.75,2,3,1
829,1,1,1,62.0,80.0,0,2,1
830,1,3,1,15.0,14.4542,1,2,2
831,1,2,0,0.83,18.75,0,0,3
832,0,3,0,32.368090452261306,7.2292,1,3,1
833,0,3,0,23.0,7.8542,0,3,1
834,0,3,0,18.0,8.3,0,3,1
835,1,1,1,39.0,83.1583,1,1,3
836,0,3,0,21.0,8.6625,0,3,1
837,0,3,0,32.368090452261306,8.05,0,3,1
838,1,3,0,32.0,56.4958,0,3,1
839,1,1,0,32.368090452261306,29.7,1,3,1
840,0,3,0,20.0,7.925,0,3,1
841,0,2,0,16.0,10.5,0,3,1
842,1,1,1,30.0,31.0,1,1,1
843,0,3,0,34.5,6.4375,1,3,1
844,0,3,0,17.0,8.6625,0,3,1
845,0,3,0,42.0,7.55,0,3,1
846,0,3,0,32.368090452261306,69.55,0,3,11
847,0,3,0,35.0,7.8958,1,3,1
848,0,2,0,28.0,33.0,0,4,2
849,1,1,1,35.898148148148145,89.1042,1,2,2
850,0,3,0,4.0,31.275,0,0,7
851,0,3,0,74.0,7.775,0,3,1
852,0,3,1,9.0,15.2458,1,1,3
853,1,1,1,16.0,39.4,0,1,2
854,0,2,1,44.0,26.0,0,2,2
855,1,3,1,18.0,9.35,0,2,2
856,1,1,1,45.0,164.8667,0,2,3
857,1,1,0,51.0,26.55,0,3,1
858,1,3,1,24.0,19.2583,1,2,4
859,0,3,0,32.368090452261306,7.2292,1,3,1
860,0,3,0,41.0,14.1083,0,3,3
861,0,2,0,21.0,11.5,0,3,2
862,1,1,1,48.0,25.9292,0,2,1
863,0,3,1,21.773972602739725,69.55,0,1,11
864,0,2,0,24.0,13.0,0,3,1
865,1,2,1,42.0,13.0,0,2,1
866,1,2,1,27.0,13.8583,1,1,2
867,0,1,0,31.0,50.4958,0,3,1
868,0,3,0,32.368090452261306,9.5,0,3,1
869,1,3,0,4.0,11.1333,0,0,3
870,0,3,0,26.0,7.8958,0,3,1
871,1,1,1,47.0,52.5542,0,2,3
872,0,1,0,33.0,5.0,0,3,1
873,0,3,0,47.0,9.0,0,3,1
874,1,2,1,28.0,24.0,1,2,2
875,1,3,1,15.0,7.225,1,1,1
876,0,3,0,20.0,9.8458,0,3,1
877,0,3,0,19.0,7.8958,0,3,1
878,0,3,0,32.368090452261306,7.8958,0,3,1
879,1,1,1,56.0,83.1583,1,2,2
880,1,2,1,25.0,26.0,0,2,2
881,0,3,0,33.0,7.8958,0,3,1
882,0,3,1,22.0,10.5167,0,1,1
883,0,2,0,28.0,10.5,0,3,1
884,0,3,0,25.0,7.05,0,3,1
885,0,3,1,39.0,29.125,2,2,6
886,0,2,0,27.0,13.0,0,4,1
887,1,1,1,19.0,30.0,0,1,1
888,0,3,1,21.773972602739725,23.45,0,1,4
889,1,1,0,26.0,30.0,1,3,1
890,0,3,0,32.0,7.75,2,3,1
